@TEMPLATE,@WHENCREATED,@EXPORTFLAG,@DESCRIPTION,@DATEVALIDATED,@UNIQUEIDENTIFIER,@WHENUPDATED,@TYPE,@NAME,@VALIDATED,@ALLOWAUTOMATICDELETION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,2015-11-10T14:52:16,0,,1899-12-30T00:00:00,e8cda98b87ec11e5bf18002590713bc0,2015-11-10T14:52:16,,,0,0,e8cda98187ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8d87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:17,0,,1899-12-30T00:00:00,e8cda99587ec11e5bf18002590713bc0,2015-11-10T14:52:17,,,0,0,e8cda98d87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8e87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:17,0,,1899-12-30T00:00:00,e8cda99787ec11e5bf18002590713bc0,2015-11-10T14:52:17,,,0,0,e8cda98e87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8e87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:17,0,,1899-12-30T00:00:00,e8cda99987ec11e5bf18002590713bc0,2015-11-10T14:52:17,,,0,0,e8cda98f87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8e87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:18,0,,1899-12-30T00:00:00,e8cda9a787ec11e5bf18002590713bc0,2015-11-10T14:52:18,,,0,0,e8cda99b87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8f87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:19,0,,1899-12-30T00:00:00,e8cda9a987ec11e5bf18002590713bc0,2015-11-10T14:52:19,,,0,0,e8cda99c87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8f87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:19,0,,1899-12-30T00:00:00,e8cda9ab87ec11e5bf18002590713bc0,2015-11-10T14:52:19,,,0,0,e8cda99d87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8f87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2015-11-10T14:52:19,0,,1899-12-30T00:00:00,e8cda9ad87ec11e5bf18002590713bc0,2015-11-10T14:52:19,,,0,0,e8cda99e87ec11e5bf18002590713bc0,ETOMPROCESS,d68f5d8f87ec11e5bf18002590713bc0,ETOMPROCESS,,,,32,32,32
0,2022-05-19T06:35:48,0,,1899-12-30T00:00:00,e966888fd73d11ec94f8000d3a0ebc70,2022-05-19T06:35:48,,,0,0,e35ffae3d73c11ec94f8000d3a0ebc70,ETOMPROCESS,2fff9a1bd73311ec94f8000d3a0ebc70,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2022-05-19T06:35:53,0,,1899-12-30T00:00:00,e9668891d73d11ec94f8000d3a0ebc70,2022-05-19T06:35:53,,,0,0,b53636a2d73c11ec94f8000d3a0ebc70,ETOMPROCESS,2fff9a1bd73311ec94f8000d3a0ebc70,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2010-10-01T16:38:57,0,,1899-12-30T00:00:00,e9783bcfcd9b11dfa87b002564cb911c,2010-10-01T16:38:57,,,0,0,9df014aa8ebf11df89d30026b9bf6441,ETOMPROCESS,760019f5cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T16:38:59,0,,1899-12-30T00:00:00,e9783bd0cd9b11dfa87b002564cb911c,2010-10-01T16:38:59,,,0,0,9df014ab8ebf11df89d30026b9bf6441,ETOMPROCESS,760019f5cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T16:39:01,0,,1899-12-30T00:00:00,e9783bd1cd9b11dfa87b002564cb911c,2010-10-01T16:39:01,,,0,0,9df014ac8ebf11df89d30026b9bf6441,ETOMPROCESS,760019f5cb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2022-05-19T06:21:30,0,,1899-12-30T00:00:00,e999b79dd73b11ec94f8000d3a0ebc70,2022-05-19T06:21:30,,,0,0,d1a539f1d73911ec94f8000d3a0ebc70,ETOMPROCESS,fdf32089d73211ec94f8000d3a0ebc70,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2012-04-03T22:21:42,0,,1899-12-30T00:00:00,e9eda0617dfc11e1a8e8002564cb911c,2012-04-03T22:21:42,,,0,0,ae5e7a407dfc11e1a8e8002564cb911c,ETOMPROCESS,5a5f3994161411ddad71001e378839ac,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2013-08-14T16:20:09,0,,1899-12-30T00:00:00,ea08e3d5051e11e3ac5202b09a168801,2013-08-14T16:20:09,,,0,0,7001e850cb2b11db9435000e3573f0d3,ETOMPROCESS,ac64a5ba04ea11e3ac5202b09a168801,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2013-08-14T16:20:13,0,,1899-12-30T00:00:00,ea08e3d6051e11e3ac5202b09a168801,2013-08-14T16:20:13,,,0,0,7001e8bdcb2b11db9435000e3573f0d3,ETOMPROCESS,ac64a5ba04ea11e3ac5202b09a168801,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2021-12-13T03:51:15,0,,1899-12-30T00:00:00,eac731805bc711ec8107000d3a02ed0d,2021-12-13T03:51:15,,,0,0,7600199ecb2b11db9435000e3573f0d3,ETOMPROCESS,4a38e2854c7b11ec8107000d3a02ed0d,ETOMPROCESS,DFREED,DFREED,DFREED,,,
0,2010-10-01T16:46:10,0,,1899-12-30T00:00:00,eb42c2f0cd9c11dfa87b002564cb911c,2010-10-01T16:46:10,,,0,0,37b14889860111dd9427001de065480b,ETOMPROCESS,7001e8dccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T16:46:12,0,,1899-12-30T00:00:00,eb42c2f1cd9c11dfa87b002564cb911c,2010-10-01T16:46:12,,,0,0,37b14895860111dd9427001de065480b,ETOMPROCESS,7001e8dccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T16:46:14,0,,1899-12-30T00:00:00,eb42c2f2cd9c11dfa87b002564cb911c,2010-10-01T16:46:14,,,0,0,37b1489b860111dd9427001de065480b,ETOMPROCESS,7001e8dccb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T13:40:05,0,,1899-12-30T00:00:00,ec362ea2cd8211dfb88b002564cb911c,2010-10-01T13:40:05,,,0,0,a853680485f711dd9427001de065480b,ETOMPROCESS,760019eacb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T13:40:06,0,,1899-12-30T00:00:00,ec362ea3cd8211dfb88b002564cb911c,2010-10-01T13:40:06,,,0,0,a853681285f711dd9427001de065480b,ETOMPROCESS,760019eacb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2010-10-01T13:40:08,0,,1899-12-30T00:00:00,ec362ea4cd8211dfb88b002564cb911c,2010-10-01T13:40:08,,,0,0,7001e838cb2b11db9435000e3573f0d3,ETOMPROCESS,760019eacb2b11db9435000e3573f0d3,ETOMPROCESS,ADMIN,ADMIN,ADMIN,,,
0,2022-05-30T07:05:46,0,,1899-12-30T00:00:00,ecf43030dfe611ec94f9000d3a0ebc70,2022-05-30T07:05:46,,,0,0,675c7355dfe511ec94f9000d3a0ebc70,ETOMPROCESS,04faa65e646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2021-11-18T11:37:39,0,,1899-12-30T00:00:00,ecf465cd486311ec8107000d3a02ed0d,2021-11-18T11:37:39,,,0,0,4ebd6ab7486311ec8107000d3a02ed0d,ETOMPROCESS,1423646e486211ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2020-05-29T17:43:43,0,,1899-12-30T00:00:00,ed617e91a1d311ea80f0000d3a02ed0d,2020-05-29T17:43:43,,,0,0,69632ad76df311e5bf18002590713bc0,ETOMPROCESS,0c54fdfaa0ce11ea80f0000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2021-11-29T07:57:01,0,,1899-12-30T00:00:00,ee2e6dbc50e911ec8107000d3a02ed0d,2021-11-29T07:57:01,,,0,0,e1d9ea6650e911ec8107000d3a02ed0d,ETOMPROCESS,e7d1a93450e911ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2021-11-29T07:57:01,0,,1899-12-30T00:00:00,ee2e6dc350e911ec8107000d3a02ed0d,2021-11-29T07:57:01,,,0,0,ee2e6dbd50e911ec8107000d3a02ed0d,ETOMPROCESS,e1d9ea6650e911ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
0,2021-11-29T07:57:02,0,,1899-12-30T00:00:00,ee2e6dc650e911ec8107000d3a02ed0d,2021-11-29T07:57:02,,,0,0,ee2e6dbe50e911ec8107000d3a02ed0d,ETOMPROCESS,e1d9ea6650e911ec8107000d3a02ed0d,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR,,,
