@TEMPLATE,@NAME,@EXPORTFLAG,@VALIDATED,@DESCRIPTION,@DATEVALIDATED,@WHENCREATED,@TYPE,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:58:07,,0,38729ae4637211e4925a6817294aebff,2014-11-03T09:58:07,fa2cdc7d637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e894cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:08,,0,aa0b45d9637111e4925a6817294aebff,2014-11-03T09:54:08,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:13,,0,aa0b45da637111e4925a6817294aebff,2014-11-03T09:54:13,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e950cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:18,,0,b06f69ee637111e4925a6817294aebff,2014-11-03T09:54:18,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,7001e883cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:24,,0,b06f69ef637111e4925a6817294aebff,2014-11-03T09:54:24,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,3d04324c0b3711dd870a001e378839ac,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:29,,0,b6f12892637111e4925a6817294aebff,2014-11-03T09:54:29,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,fad3173d0ba711dd870a001e378839ac,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:35,,0,b6f12893637111e4925a6817294aebff,2014-11-03T09:54:35,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,efe738aa8b9e11df89d30026b9bf6441,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2014-11-03T09:54:57,,0,c3fac072637111e4925a6817294aebff,2014-11-03T09:54:57,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,760018b3cb2b11db9435000e3573f0d3,ETOMPROCESS,32,32,32,,,
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:20,,0,c4494975bcac11eb8100000d3a02ed0d,2021-05-24T16:26:20,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494976bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
0,,0,0,,1899-12-30T00:00:00,2021-05-24T16:26:20,,0,c449497bbcac11eb8100000d3a02ed0d,2021-05-24T16:26:20,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,c4494973bcac11eb8100000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
