@TYPE,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@WHENCREATED,@DESCRIPTION,@EXPORTFLAG,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@TEMPLATE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec81b736211ea80ee000d3a02ed0d,,0,543573e2736211ea80ee000d3a02ed0d,ENTITY,543573de736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec81c736211ea80ee000d3a02ed0d,,0,4e3c7e7b736211ea80ee000d3a02ed0d,ENTITY,4e3c7e79736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec81d736211ea80ee000d3a02ed0d,,0,4e3c7ea9736211ea80ee000d3a02ed0d,ENTITY,4e3c7ea7736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec81e736211ea80ee000d3a02ed0d,,0,4e3c7ec9736211ea80ee000d3a02ed0d,ENTITY,4e3c7ec7736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec81f736211ea80ee000d3a02ed0d,,0,4e3c7ecb736211ea80ee000d3a02ed0d,ENTITY,4e3c7ec7736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec820736211ea80ee000d3a02ed0d,,0,4e3c7ecf736211ea80ee000d3a02ed0d,ENTITY,4e3c7ecd736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec821736211ea80ee000d3a02ed0d,,0,4e3c7ed1736211ea80ee000d3a02ed0d,ENTITY,4e3c7ecd736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec822736211ea80ee000d3a02ed0d,,0,4e3c7ee5736211ea80ee000d3a02ed0d,ENTITY,4e3c7ee3736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec823736211ea80ee000d3a02ed0d,,0,4e3c7ee7736211ea80ee000d3a02ed0d,ENTITY,4e3c7ee3736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:27,,0,2020-03-31T15:18:27,dcfec824736211ea80ee000d3a02ed0d,,0,4e3c7ee9736211ea80ee000d3a02ed0d,ENTITY,4e3c7ee3736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec825736211ea80ee000d3a02ed0d,,0,4e3c7eef736211ea80ee000d3a02ed0d,ENTITY,4e3c7eed736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec826736211ea80ee000d3a02ed0d,,0,4e3c7ef1736211ea80ee000d3a02ed0d,ENTITY,4e3c7eed736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec827736211ea80ee000d3a02ed0d,,0,4e3c7f05736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec828736211ea80ee000d3a02ed0d,,0,4e3c7f07736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec829736211ea80ee000d3a02ed0d,,0,4e3c7f0b736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
,0,1899-12-30T00:00:00,0,2020-03-31T15:18:28,,0,2020-03-31T15:18:28,dcfec82a736211ea80ee000d3a02ed0d,,0,4e3c7f0d736211ea80ee000d3a02ed0d,ENTITY,4e3c7f03736211ea80ee000d3a02ed0d,ENTITY,ATALMOR,ATALMOR,ATALMOR
