@TYPE,@DESCRIPTION,@VALIDATED,@WHENCREATED,@NAME,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,2018-05-01T03:11:45,,0,0,1899-12-30T00:00:00,0,5e0d9f274ced11e880d5000d3a02ed0d,2018-05-01T03:11:45,fc53512b41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e86ccb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:45,,0,0,1899-12-30T00:00:00,0,5e0d9f284ced11e880d5000d3a02ed0d,2018-05-01T03:11:45,f65a6d4441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:46,,0,0,1899-12-30T00:00:00,0,5e0d9f294ced11e880d5000d3a02ed0d,2018-05-01T03:11:46,f65a6d1841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e877cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:46,,0,0,1899-12-30T00:00:00,0,5e0d9f2a4ced11e880d5000d3a02ed0d,2018-05-01T03:11:46,fc53504d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:47,,0,0,1899-12-30T00:00:00,0,5e0d9f2b4ced11e880d5000d3a02ed0d,2018-05-01T03:11:47,fc53507d41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:47,,0,0,1899-12-30T00:00:00,0,5e0d9f2c4ced11e880d5000d3a02ed0d,2018-05-01T03:11:47,f65a6d9841a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:48,,0,0,1899-12-30T00:00:00,0,5e0d9f2d4ced11e880d5000d3a02ed0d,2018-05-01T03:11:48,fc53506941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:48,,0,0,1899-12-30T00:00:00,0,5e0d9f2e4ced11e880d5000d3a02ed0d,2018-05-01T03:11:48,fc5350a741a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e93acb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:49,,0,0,1899-12-30T00:00:00,0,5e0d9f2f4ced11e880d5000d3a02ed0d,2018-05-01T03:11:49,f65a6db241a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
,,0,2018-05-01T03:11:49,,0,0,1899-12-30T00:00:00,0,5e0d9f304ced11e880d5000d3a02ed0d,2018-05-01T03:11:49,fc53505341a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,7001e857cb2b11db9435000e3573f0d3,ETOMPROCESS,DFREED,DFREED,DFREED
