@FILLSTYLE,@FILLCOLOUR,@NAMEFILLCOLOUR,@TEXTCOLOUR,@SHADOWSIZE,@VALIDATED,@SHADOWCOLOUR,@NAMEFILLPATTERN,@ELEMENTSUSED,@SPECIALEFFECTS,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@TEMPLATE,@OTHERFLAGS,@DATEVALIDATED,@LINECOLOUR,@LINEWIDTH,@NAME,@LINESTYLE,@TEXTMODE,@SHADOWDIRECTION,@NAMELINESTYLE,@NAMESHADOWDIRECTION,@NAMESHADOWCOLOUR,@NAMESHADOWSIZE,@UNIQUEIDENTIFIER,@VERTICALJUSTIFICATION,@HORIZONTALJUSTIFICATION,RCSTYLETOFONT@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@WHOOWNS,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOUPDATEDTOUSER@WHOUPDATED,RCSTYLETOFONT@FONTNR
0,25231359,0,1,10,0,4,0,263167,0,0,2015-11-13T15:53:49,2015-11-13T15:53:49,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,03f596eb8a5111e5bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2015-11-13T15:53:49,2015-11-13T15:53:49,0,0,2015-11-13T15:53:49,4,0,,0,1,1,0,0,4,10,03f596ec8a5111e5bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,8,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2015-11-13T15:53:50,2015-11-13T15:53:50,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,03f596ee8a5111e5bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2015-11-13T15:53:50,2015-11-13T15:53:50,0,0,2015-11-13T15:53:50,4,0,,0,1,1,0,0,4,10,03f596ef8a5111e5bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,8,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2015-11-13T15:53:51,2015-11-13T15:53:51,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,03f596f18a5111e5bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2015-11-13T15:53:51,2015-11-13T15:53:51,0,0,2015-11-13T15:53:51,4,0,,0,1,1,0,0,4,10,03f596f28a5111e5bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,8,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2015-11-13T15:53:52,2015-11-13T15:53:52,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,03f596f48a5111e5bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2015-11-13T15:53:52,2015-11-13T15:53:52,0,0,2015-11-13T15:53:52,4,0,,0,1,1,0,0,4,10,03f596f58a5111e5bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,8,8,8,
0,25231359,0,1,10,0,4,0,263167,0,0,2015-11-13T15:53:53,2015-11-13T15:53:53,0,0,1899-12-30T00:00:00,1,0,,0,1,0,0,0,4,10,03f596f78a5111e5bf18002590713bc0,,,Arial_10_0_0_32,,,,8,8,8,
0,0,0,1,10,-1,4,0,8,0,0,2015-11-13T15:53:53,2015-11-13T15:53:53,0,0,2015-11-13T15:53:53,4,0,,0,1,1,0,0,4,10,03f596f88a5111e5bf18002590713bc0,,,Times New Roman_18_0_5_32,,,,8,8,8,
