@WHENUPDATED,@WHENCREATED,@TEMPLATE,@NAME,@ALLOWAUTOMATICDELETION,@TYPE,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@VALIDATED,@DATEVALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
2015-05-07T11:23:15,2015-05-07T11:23:15,0,,0,,,bde37e71f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,9d3f28d65e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:15,2015-05-07T11:23:15,0,,0,,,bde37e72f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,bde37e6df4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,9d3f28d65e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:16,2015-05-07T11:23:16,0,,0,,,bde37e77f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,a3fb80585e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:17,2015-05-07T11:23:17,0,,0,,,bde37e7bf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,ac9d67d35e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:17,2015-05-07T11:23:17,0,,0,,,bde37e7df4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,b43d44d65e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:18,2015-05-07T11:23:18,0,,0,,,bde37e80f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,bc19b68e5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:19,2015-05-07T11:23:19,0,,0,,,bde37e82f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,c3ae96e95e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:20,2015-05-07T11:23:20,0,,0,,,bde37e84f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,972b6fdf5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,d174f1d85e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:20,2015-05-07T11:23:20,0,,0,,,bde37e86f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,d174f1db5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,d8e7cac65e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:21,2015-05-07T11:23:21,0,,0,,,bde37e88f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,53ca5f7c5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,e56b8edd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:21,2015-05-07T11:23:21,0,,0,,,bde37e8af4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,e56b8ee05e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,ecdb81905e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:22,2015-05-07T11:23:22,0,,0,,,bde37e8bf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f4254e105e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:22,2015-05-07T11:23:22,0,,0,,,bde37e8cf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,facac1d95e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:22,2015-05-07T11:23:22,0,,0,,,bde37e8df4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,facac1dc5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:23,2015-05-07T11:23:23,0,,0,,,bde37e8ef4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,02c4f5325e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:23,2015-05-07T11:23:23,0,,0,,,bde37e90f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,09c29c685e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:24,2015-05-07T11:23:24,0,,0,,,bde37e91f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,1102a4c45e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:24,2015-05-07T11:23:24,0,,0,,,bde37e92f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,17cc91075e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:25,2015-05-07T11:23:25,0,,0,,,bde37e95f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,1f2292b85e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,2cb189295e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:25,2015-05-07T11:23:25,0,,0,,,c41e5855f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,33e0ef795e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:26,2015-05-07T11:23:26,0,,0,,,c41e5857f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,424ed77c5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:27,2015-05-07T11:23:27,0,,0,,,c41e5859f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,49d734895e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:27,2015-05-07T11:23:27,0,,0,,,c41e585bf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,50ccc5515e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:28,2015-05-07T11:23:28,0,,0,,,c41e585df4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,d174f1db5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,57ba18995e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:29,2015-05-07T11:23:29,0,,0,,,c41e585ff4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,5ee400945e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:29,2015-05-07T11:23:29,0,,0,,,c41e5862f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,6d8d92e65e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:30,2015-05-07T11:23:30,0,,0,,,c41e5864f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,7496d3075e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:31,2015-05-07T11:23:31,0,,0,,,c41e5868f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,7b0641e75e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:31,2015-05-07T11:23:31,0,,0,,,c41e586cf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,817625f95e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:31,2015-05-07T11:23:31,0,,0,,,c41e5870f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c41e586ff4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,dd8586d95f4711e4b023002590713bc0,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:32,2015-05-07T11:23:32,0,,0,,,c41e5876f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,8824c1a55e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:33,2015-05-07T11:23:33,0,,0,,,c41e587af4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,8ed028f65e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:33,2015-05-07T11:23:33,0,,0,,,c41e587ef4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,9bbe974c5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:34,2015-05-07T11:23:34,0,,0,,,c41e5880f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,2a1bbfcd5e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,a34f31d85e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:35,2015-05-07T11:23:35,0,,0,,,c41e5882f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,a97bf16e5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:35,2015-05-07T11:23:35,0,,0,,,c41e5883f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,a97bf16e5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:35,2015-05-07T11:23:35,0,,0,,,ca201146f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,b0a6c3cc5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:36,2015-05-07T11:23:36,0,,0,,,ca201148f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,3eb5cb265e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,b7e063715e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:37,2015-05-07T11:23:37,0,,0,,,ca20114af4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,be7f20615e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,be7f20645e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:37,2015-05-07T11:23:37,0,,0,,,ca20114df4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a790545e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,c6a790575e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:38,2015-05-07T11:23:38,0,,0,,,ca201150f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,cd0c299d5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,d33d56125e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:38,2015-05-07T11:23:38,0,,0,,,ca201152f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a790545e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,d9aee7da5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:39,2015-05-07T11:23:39,0,,0,,,ca201154f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,e01d6c555e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,e01d6c585e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:39,2015-05-07T11:23:39,0,,0,,,ca201156f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,be7f20615e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,e841214a5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:40,2015-05-07T11:23:40,0,,0,,,ca20115bf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,e01d6c555e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,f51f62c35e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:40,2015-05-07T11:23:40,0,,0,,,ca20115cf4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,ca20115af4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,f51f62c35e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:41,2015-05-07T11:23:41,0,,0,,,ca20115ff4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,fb2fe75f5e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:41,2015-05-07T11:23:41,0,,0,,,ca201160f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,6fcb0e925e8811e4925a6817294aebff,FRAMEWORXTOUCHPOINT,01b5ebd25e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:42,2015-05-07T11:23:42,0,,0,,,ca201163f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,1f2292b85e8911e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0878ac0b5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
2015-05-07T11:23:42,2015-05-07T11:23:42,0,,0,,,ca201165f4dd11e4aa85002590713bc0,0,0,1899-12-30T00:00:00,c6a04a075e8711e4925a6817294aebff,FRAMEWORXTOUCHPOINT,0f81c51a5e8a11e4925a6817294aebff,FRAMEWORXTOUCHPOINT,32,32,32
