@TYPE,@UNIQUEIDENTIFIER,@ALLOWAUTOMATICDELETION,@WHENUPDATED,@EXPORTFLAG,@DATEVALIDATED,@TEMPLATE,@DESCRIPTION,@WHENCREATED,@NAME,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,d6212231f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212234f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621222cf4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212236f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212239f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212235f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621223bf4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d621223ef4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621223af4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212240f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212243f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621223ff4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212245f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212248f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212244f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621224af4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d621224df4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212249f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621224ff4dd11e4aa85002590713bc0,0,2015-05-07T11:24:03,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:03,,0,d6212252f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621224ef4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212254f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212257f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212253f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d6212258f4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d621225bf4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d6212253f4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
,d621225df4dd11e4aa85002590713bc0,0,2015-05-07T11:24:04,0,1899-12-30T00:00:00,0,,2015-05-07T11:24:04,,0,d6212260f4dd11e4aa85002590713bc0,FRAMEWORXTOUCHPOINT,d621225cf4dd11e4aa85002590713bc0,FRAMEWORXBUSINESSSCENARIO,32,32,32
