@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@NAME,@TEMPLATE,@WHENCREATED,@UNIQUEIDENTIFIER,@EXPORTFLAG,@DATEVALIDATED,@VALIDATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,,0,2021-12-15T17:52:54,d109b9875dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:54,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c75f6f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:54,d109b98a5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:54,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c75f9f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:54,d109b98e5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:54,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5862db574f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:55,d109b9915dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:55,d109b9465dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,5862db5a4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:55,d109b9965dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:55,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,2bd33d6c52be11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:55,d109b9995dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:55,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,2bd33d7b52be11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:55,d109b99c5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:55,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,2bd33d7e52be11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:55,d109b99f5dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:55,d109b9565dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,f434ce9bb35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:56,d109b9b35dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:56,d109b9b25dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,2753398bf2f011e880dc000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:56,d109b9c35dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:56,d109b9465dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,658c75e4f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
,0,,,0,2021-12-15T17:52:57,d109b9d25dcf11ec8107000d3a02ed0d,0,1899-12-30T00:00:00,0,2021-12-15T17:52:57,d109b9465dcf11ec8107000d3a02ed0d,TMFODACOMPONENT,2bd33d7252be11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,DFREED,DFREED,DFREED
