@QUEUEPRIORITY,@GROWTHTYPE,@TYPE,@INTERNALEXTERNAL,@DESCRIPTION,@NAME,@EXPORTFLAG,@TEMPLATE,@WHENCREATED,@WHENUPDATED,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@TRIGGER,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Trouble Ticket or Request or Signal,0,0,2009-04-17T11:14:57,2009-04-17T11:15:16,0,37ef8a902b3011deb424000e35d948d7,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Resource Performance Data Available,0,0,2001-06-27T09:20:23,2005-05-13T12:09:38,-1,38d95847d4ea49548f0f9c536194c8b8,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Internal resource Provisionning Completed,0,0,2004-03-17T18:15:03,2004-03-17T18:15:13,0,3ec5ae5d782e11d8bc1d0003476dfa9b,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Partner Usage and Charging Data Available,0,0,2004-09-02T09:44:13,2004-09-02T09:44:32,0,43d56290fcbc11d8af0c005056c00008,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,event 5 WM 1162,0,0,2013-03-07T09:54:22,2013-03-07T09:54:22,0,459f80e3873f11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,eab48b00e15b4d66883fbfc50e5d3422,,Status Request,0,0,2000-12-07T15:59:25,2000-12-07T15:59:54,0,45b224be30a34b0b8e4a5e155bed4145,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,3ef3579c57bf48c8b858027f8f762661,,Sales Proposal received By Customer,0,0,2003-04-06T22:15:25,2003-04-06T22:17:06,0,489b21f6b6464ec9ad616fef88b94772,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Incident Resolved,0,0,2013-07-24T06:19:38,2013-07-24T06:19:38,0,4d6f04f4f45b11e2a792002590713bc0,1899-12-30T00:00:00,,0.0,0.0,,,,6,6,6
0,0,,0b248d2767a3438ba9dc1188028d64e5,,Close Customer Problem Report,0,0,2012-01-31T18:57:19,2012-01-31T18:57:24,0,4e42f9ce4c6711e1b622002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
0,0,,0b248d2767a3438ba9dc1188028d64e5,,End Localize Resource Trouble,0,0,2012-02-01T16:18:40,2012-02-01T16:18:40,0,4ef51b4b4d1a11e1a996002564cb911c,1899-12-30T00:00:00,,0.0,0.0,ADMIN,ADMIN,ADMIN,,,
