@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@NAME,@DESCRIPTION,@VALIDATED,@EXPORTFLAG,@UNIQUEIDENTIFIER,@DATEVALIDATED,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,,,0,0,26f8744c5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:05,2021-12-15T17:48:05,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8744d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8744f5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:05,2021-12-15T17:48:05,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874505dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874555dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874565dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874585dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874595dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8745b5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8745c5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8745e5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8745f5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874615dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874625dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874645dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874655dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874675dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f874685dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f8746a5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:06,2021-12-15T17:48:06,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,26f8746b5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
