@TEMPLATE,@WHENUPDATED,@ALLOWAUTOMATICDELETION,@VALIDATED,@UNIQUEIDENTIFIER,@DATEVALIDATED,@DESCRIPTION,@TYPE,@WHENCREATED,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,2020-08-05T17:32:38,0,0,a435ed14d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d742b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed15d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d724b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed16d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d723b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed17d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d733b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed18d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d73eb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed19d74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d73db7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed1ad74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d73ab7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed1bd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d735b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed1cd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d73bb7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
0,2020-08-05T17:32:38,0,0,a435ed1dd74111ea80f2000d3a02ed0d,1899-12-30T00:00:00,,,2020-08-05T17:32:38,,0,702b50a4d73e11ea80f2000d3a02ed0d,FRAMEWORXGROUPSTRATIFICATION,1d12d739b7b211ea80f1000d3a02ed0d,FRAMEWORXCAPABILITY,ADMIN,ADMIN,ADMIN
