@EXPORTFLAG,@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENCREATED,@NAME,@TEMPLATE,@DESCRIPTION,@DATEVALIDATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,0,0,2018-05-01T03:16:45,,0,,1899-12-30T00:00:00,2018-05-01T03:16:45,0e4c79924cee11e880d5000d3a02ed0d,,1a30a12b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9de341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:46,,0,,1899-12-30T00:00:00,2018-05-01T03:16:46,0e4c79944cee11e880d5000d3a02ed0d,,202b9dd941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9de941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:30,,0,,1899-12-30T00:00:00,2018-05-01T03:09:30,0fbce9144ced11e880d5000d3a02ed0d,,024c5c8141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c8441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:32,,0,,1899-12-30T00:00:00,2018-05-01T03:09:32,0fbce9174ced11e880d5000d3a02ed0d,,024c5c4b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c4e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:33,,0,,1899-12-30T00:00:00,2018-05-01T03:09:33,0fbce91a4ced11e880d5000d3a02ed0d,,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c8941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:34,,0,,1899-12-30T00:00:00,2018-05-01T03:09:34,0fbce91d4ced11e880d5000d3a02ed0d,,024c5c8c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c8f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:36,,0,,1899-12-30T00:00:00,2018-05-01T03:09:36,0fbce9204ced11e880d5000d3a02ed0d,,f65a6cee41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c9441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:37,,0,,1899-12-30T00:00:00,2018-05-01T03:09:37,0fbce9234ced11e880d5000d3a02ed0d,,024c5c8c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c9941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:09:39,,0,,1899-12-30T00:00:00,2018-05-01T03:09:39,0fbce9264ced11e880d5000d3a02ed0d,,f65a6cee41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c9d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:47,,0,,1899-12-30T00:00:00,2018-05-01T03:16:47,145cc4784cee11e880d5000d3a02ed0d,,1a30a12541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9ded41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:48,,0,,1899-12-30T00:00:00,2018-05-01T03:16:48,145cc47a4cee11e880d5000d3a02ed0d,,1a30a13841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9df241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,0,0,2018-05-01T03:16:49,,0,,1899-12-30T00:00:00,2018-05-01T03:16:49,145cc47c4cee11e880d5000d3a02ed0d,,1a30a13e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9df641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
