@DESCRIPTION,@TEMPLATE,@VALIDATED,@DATEVALIDATED,@WHENUPDATED,@TYPE,@WHENCREATED,@ALLOWAUTOMATICDELETION,@UNIQUEIDENTIFIER,@NAME,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558ddeb1711eb8103000d3a02ed0d,,0,262cf76041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,27afd3b2ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558dfeb1711eb8103000d3a02ed0d,,0,262cf77241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c1d4ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558e0eb1711eb8103000d3a02ed0d,,0,262cf77241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed402ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558e2eb1711eb8103000d3a02ed0d,,0,262cf77741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed402ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558e4eb1711eb8103000d3a02ed0d,,0,262cf78041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,21b5c222ad0711eb80ff000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558e6eb1711eb8103000d3a02ed0d,,0,262cf79141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,07bed402ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558e8eb1711eb8103000d3a02ed0d,,0,262cf79641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,0dbf92e2ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558eaeb1711eb8103000d3a02ed0d,,0,262cf79e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,0dbf92e2ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558eceb1711eb8103000d3a02ed0d,,0,262cf7a341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,0dbf92e2ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
,0,0,1899-12-30T00:00:00,2021-07-22T18:05:09,,2021-07-22T18:05:09,0,586558eeeb1711eb8103000d3a02ed0d,,0,262cf7a841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,0dbf92e2ea3011eb8103000d3a02ed0d,FRAMEWORXBUSINESSOBJECT,DFREED,DFREED,DFREED
