@ALLOWAUTOMATICDELETION,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@NAME,@DATEVALIDATED,@TEMPLATE,@VALIDATED,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,f2b7bbdd6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:27,2022-01-06T17:13:27,,1899-12-30T00:00:00,0,0,,5e5bdfe04f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062cc5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbde6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5bdfe34f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbdf6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5bdfec4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe06f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5bdff54f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe16f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5bdffe4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062bd5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe26f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5be0014f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062bd5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe36f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5be0044f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062bd5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe46f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5be00d4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062bd5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe56f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5be04e4f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062d85dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe66f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5be0514f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062d55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe76f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,5e5be0544f8d11e780ca000d3a02ed0d,FRAMEWORXFUNCTION,2cf062d55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe86f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,e0e795e415e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbe96f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:28,2022-01-06T17:13:28,,1899-12-30T00:00:00,0,0,,e0e795e715e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062cc5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbea6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795ed15e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbeb6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795f015e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbec6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795f315e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbed6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795f615e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbee6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795f915e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbef6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795fc15e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bbf06f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:29,2022-01-06T17:13:29,,1899-12-30T00:00:00,0,0,,e0e795ff15e511ea80ea000d3a02ed0d,FRAMEWORXFUNCTION,2cf062cc5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
