@TEMPLATE,@UNIQUEIDENTIFIER,@WHENUPDATED,@TYPE,@WHENCREATED,@VALIDATED,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,@EXPORTFLAG,@NAME,@DESCRIPTION,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,df42631ea83b11e2be8ef04da23a38c8,2013-04-18T09:22:39,,2013-04-18T09:22:39,0,0,1899-12-30T00:00:00,0,,,b18feb23a7a811e2a0d5f04da23a38c8,TAMAPPLICATION,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,df42631fa83b11e2be8ef04da23a38c8,2013-04-18T09:22:39,,2013-04-18T09:22:39,0,0,1899-12-30T00:00:00,0,,,b8dff94ca7a811e2a0d5f04da23a38c8,TAMAPPLICATION,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,df426320a83b11e2be8ef04da23a38c8,2013-04-18T09:22:40,,2013-04-18T09:22:40,0,0,1899-12-30T00:00:00,0,,,ca899071a7a811e2a0d5f04da23a38c8,TAMAPPLICATION,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,df426321a83b11e2be8ef04da23a38c8,2013-04-18T09:22:40,,2013-04-18T09:22:40,0,0,1899-12-30T00:00:00,0,,,3a12adeaa82e11e2be8ef04da23a38c8,TAMAPPLICATION,e1ba9d0639d811db9075004096a6c0fb,TAMAPPLICATION,,,,DFREED,DFREED,DFREED
0,e50252922ba711e397730220e3370c01,2013-10-02T15:16:20,,2013-10-02T15:16:20,0,0,1899-12-30T00:00:00,0,,,07f0aec9827111dc887d00059a3c7800,TAMAPPLICATION,6c29aab32b9a11e397730220e3370c01,TAMAPPLICATION,8,8,8,,,
0,e5563614afaa11e2a7350026b9bf6441,2013-04-27T20:25:20,,2013-04-27T20:25:20,0,0,1899-12-30T00:00:00,0,,,cde548f3699911e1a5f7002564cb911c,TAMAPPLICATION,1c395440693b11e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,e5563615afaa11e2a7350026b9bf6441,2013-04-27T20:25:27,,2013-04-27T20:25:27,0,0,1899-12-30T00:00:00,0,,,d80598a7699911e1a5f7002564cb911c,TAMAPPLICATION,1c395440693b11e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,e559ed1da5ef11e6bf18002590713bc0,2016-11-08T14:14:06,,2016-11-08T14:14:06,0,0,1899-12-30T00:00:00,0,,,b3e65c5ca4c811e6bf18002590713bc0,TAMAPPLICATION,b3e65c56a4c811e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,e559ed1ea5ef11e6bf18002590713bc0,2016-11-08T14:14:06,,2016-11-08T14:14:06,0,0,1899-12-30T00:00:00,0,,,b3e65c5ca4c811e6bf18002590713bc0,TAMAPPLICATION,b3e65c5ca4c811e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,e559ed24a5ef11e6bf18002590713bc0,2016-11-08T14:14:07,,2016-11-08T14:14:07,0,0,1899-12-30T00:00:00,0,,,b3e65c5da4c811e6bf18002590713bc0,TAMAPPLICATION,b3e65c56a4c811e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,e559ed27a5ef11e6bf18002590713bc0,2016-11-08T14:14:07,,2016-11-08T14:14:07,0,0,1899-12-30T00:00:00,0,,,b3e65c5ea4c811e6bf18002590713bc0,TAMAPPLICATION,b3e65c56a4c811e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,e559ed2aa5ef11e6bf18002590713bc0,2016-11-08T14:14:08,,2016-11-08T14:14:08,0,0,1899-12-30T00:00:00,0,,,b3e65c5fa4c811e6bf18002590713bc0,TAMAPPLICATION,b3e65c56a4c811e6bf18002590713bc0,TAMAPPLICATION,32,32,32,,,
0,e567602ab0ae11e2a792002590713bc0,2013-04-29T03:26:47,,2013-04-29T03:26:47,0,0,1899-12-30T00:00:00,0,,,a3123724219711df9556001de065480b,TAMAPPLICATION,54b5ad18219711df9556001de065480b,TAMAPPLICATION,6,6,6,,,
0,e567602cb0ae11e2a792002590713bc0,2013-04-29T03:26:48,,2013-04-29T03:26:48,0,0,1899-12-30T00:00:00,0,,,94d72df4219711df9556001de065480b,TAMAPPLICATION,54b5ad18219711df9556001de065480b,TAMAPPLICATION,6,6,6,,,
0,e567602eb0ae11e2a792002590713bc0,2013-04-29T03:26:49,,2013-04-29T03:26:49,0,0,1899-12-30T00:00:00,0,,,b41fa8da219711df9556001de065480b,TAMAPPLICATION,54b5ad18219711df9556001de065480b,TAMAPPLICATION,6,6,6,,,
0,e5676030b0ae11e2a792002590713bc0,2013-04-29T03:26:50,,2013-04-29T03:26:50,0,0,1899-12-30T00:00:00,0,,,d4d74de4219711df9556001de065480b,TAMAPPLICATION,54b5ad18219711df9556001de065480b,TAMAPPLICATION,6,6,6,,,
0,e5676032b0ae11e2a792002590713bc0,2013-04-29T03:26:50,,2013-04-29T03:26:50,0,0,1899-12-30T00:00:00,0,,,89309026219711df9556001de065480b,TAMAPPLICATION,54b5ad18219711df9556001de065480b,TAMAPPLICATION,6,6,6,,,
0,e73fe5e08c8311e5bf18002590713bc0,2015-11-16T11:03:06,,2015-11-16T11:03:06,0,-1,1899-12-30T00:00:00,0,,,87fa3a7d192911dc87c400059a3c7800,TAMAPPLICATION,529840ec192811dc87c400059a3c7800,TAMAPPLICATION,8,8,8,,,
0,e73fe5e18c8311e5bf18002590713bc0,2015-11-16T11:03:06,,2015-11-16T11:03:06,0,-1,1899-12-30T00:00:00,0,,,87fa3a7d192911dc87c400059a3c7800,TAMAPPLICATION,44cf8fd0166e11ddad71001e378839ac,TAMAPPLICATION,8,8,8,,,
0,e848e821afb211e2a7350026b9bf6441,2013-04-27T21:22:41,,2013-04-27T21:22:41,0,0,1899-12-30T00:00:00,0,,,46c48b60699311e1a5f7002564cb911c,TAMAPPLICATION,62547c07699211e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,e848e822afb211e2a7350026b9bf6441,2013-04-27T21:22:50,,2013-04-27T21:22:50,0,0,1899-12-30T00:00:00,0,,,4d026236699311e1a5f7002564cb911c,TAMAPPLICATION,62547c07699211e1a5f7002564cb911c,TAMAPPLICATION,8,8,8,,,
0,e8ba706b2e3111eb80f9000d3a02ed0d,2020-11-24T08:49:07,,2020-11-24T08:49:07,0,0,1899-12-30T00:00:00,0,,,e8ba70722e3111eb80f9000d3a02ed0d,TAMAPPLICATION,eee68cf2a19411ea80f0000d3a02ed0d,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
0,eb7ee1032ba711e397730220e3370c01,2013-10-02T15:16:31,,2013-10-02T15:16:31,0,0,1899-12-30T00:00:00,0,,,3ecb6680163811ddad71001e378839ac,TAMAPPLICATION,6c29aab32b9a11e397730220e3370c01,TAMAPPLICATION,8,8,8,,,
0,ebbecaa4b0ae11e2a792002590713bc0,2013-04-29T03:26:51,,2013-04-29T03:26:51,0,0,1899-12-30T00:00:00,0,,,c76bb14a219711df9556001de065480b,TAMAPPLICATION,54b5ad18219711df9556001de065480b,TAMAPPLICATION,6,6,6,,,
0,ec0959a616f711e2b75d002564cb911c,2012-10-15T12:41:22,,2012-10-15T12:41:22,0,0,1899-12-30T00:00:00,0,,,278fe3b412d311e29cfff04da23a38c8,TAMAPPLICATION,e1ba9d1939d811db9075004096a6c0fb,TAMAPPLICATION,8,8,8,,,
