@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@TEMPLATE,@UNIQUEIDENTIFIER,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,RCISSUELINKTOANYOBJECT@UNIQUEIDENTIFIER,RCISSUELINKTOANYOBJECT@ANYOBJECTDESTINATION,RCISSUELINKTOISSUE@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a09e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,37b14889860111dd9427001de065480b,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a19e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,bd9e45696c7e11e1a5f7002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a29e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,4f4fe5b16d4411e1a5f7002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a39e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,ec41a06a8f7211dfad4100059a3c7800,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a49e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,5f2f189b98cf11df8caf0026b9bf6441,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a59e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,4f4fe5db6d4411e1a5f7002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a69e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,cc9d560975cf11e1a8e8002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a79e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,c6a2cbaf75cf11e1a8e8002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a89e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,77c292778c3e11e5bf18002590713bc0,ETOMPROCESS,32efec769e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777a99e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e95ccb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777aa9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,8aa5dcb66ee411e1b006002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777ab9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,4f4fe5636d4411e1a5f7002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777ac9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e943cb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777ad9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e94ccb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:06,2015-12-09T04:26:06,0,3ee777ae9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,0b6daabc048611e3ac5202b09a168801,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b09e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e8b5cb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b19e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,9ee717b8e4b311e2be9650b7c3954f49,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b29e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e8b6cb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b39e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,a9e589366a3711e1a5f7002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b49e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,bc62ee84045f11e3ac5202b09a168801,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b59e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,aabd2f80e4b311e2be9650b7c3954f49,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b69e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,eecaa00287ec11e5bf18002590713bc0,ETOMPROCESS,32efec769e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b79e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,8467afd8646911e4b023002590713bc0,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b89e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,ae147ef2fe3b11e4aa85002590713bc0,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777b99e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,dc93783387ec11e5bf18002590713bc0,ETOMPROCESS,32efec769e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777ba9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,e8cda97f87ec11e5bf18002590713bc0,ETOMPROCESS,32efec769e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777bb9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,cc9d561a75cf11e1a8e8002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777bc9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,9df014b48ebf11df89d30026b9bf6441,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777bd9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e8b7cb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:07,2015-12-09T04:26:07,0,3ee777be9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e8b8cb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777bf9e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7600187acb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777c09e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,c39771346c7e11e1a5f7002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777c19e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,00686f1776c111e1a8e8002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777c29e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,e9d2fadb8f6e11dfad4100059a3c7800,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777c39e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e8b9cb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777c49e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,7001e8bacb2b11db9435000e3573f0d3,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
0,0,2015-12-09T04:26:08,2015-12-09T04:26:08,0,3ee777c59e5f11e5bf18002590713bc0,1899-12-30T00:00:00,0,8aa5dddc6ee411e1b006002564cb911c,ETOMPROCESS,32efec719e5f11e5bf18002590713bc0,,,,32,32,32
