@TYPE,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:40,2021-12-08T22:43:40,4580df20587811ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9fc387ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:40,2021-12-08T22:43:40,4580df21587811ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9fc387ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:41,2021-12-08T22:43:41,4580df23587811ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9fc487ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:41,2021-12-08T22:43:41,4580df24587811ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9fc487ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:42,2021-12-08T22:43:42,4580df26587811ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9fc587ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:42,2021-12-08T22:43:42,4580df27587811ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9fc587ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:43,2021-12-08T22:43:43,4580df29587811ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9f9887ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T22:43:43,2021-12-08T22:43:43,4580df2a587811ec8107000d3a02ed0d,,0,0,0958e710c6ee11eb8100000d3a02ed0d,ETOMPROCESS,eeca9f9887ec11e5bf18002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:12,2021-12-08T23:12:12,45f825ef587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afdb646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:12,2021-12-08T23:12:12,45f825f0587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afdb646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:12,2021-12-08T23:12:12,45f825f1587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afdb646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:14,2021-12-08T23:12:14,45f825f3587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afdd646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:14,2021-12-08T23:12:14,45f825f4587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afdd646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:14,2021-12-08T23:12:14,45f825f5587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afdd646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:15,2021-12-08T23:12:15,45f825f7587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afde646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:15,2021-12-08T23:12:15,45f825f8587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afde646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:15,2021-12-08T23:12:15,45f825f9587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afde646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:16,2021-12-08T23:12:16,45f825fb587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afdf646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:16,2021-12-08T23:12:16,45f825fc587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afdf646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:16,2021-12-08T23:12:16,45f825fd587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afdf646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:17,2021-12-08T23:12:17,45f825ff587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afe0646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:17,2021-12-08T23:12:17,45f82600587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe0646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:17,2021-12-08T23:12:17,45f82601587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe0646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:18,2021-12-08T23:12:18,45f82603587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afe1646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:18,2021-12-08T23:12:18,45f82604587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe1646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:18,2021-12-08T23:12:18,45f82605587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe1646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:20,2021-12-08T23:12:20,45f82607587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afe2646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:20,2021-12-08T23:12:20,45f82608587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe2646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:20,2021-12-08T23:12:20,45f82609587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe2646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:21,2021-12-08T23:12:21,45f8260b587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afe3646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:21,2021-12-08T23:12:21,45f8260c587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe3646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:21,2021-12-08T23:12:21,45f8260d587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe3646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:22,2021-12-08T23:12:22,45f8260f587c11ec8107000d3a02ed0d,,0,0,3eeb3beb587811ec8107000d3a02ed0d,ETOMPROCESS,8467afe4646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:22,2021-12-08T23:12:22,45f82610587c11ec8107000d3a02ed0d,,0,0,3a2a800ec6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe4646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:12:22,2021-12-08T23:12:22,45f82611587c11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,8467afe4646911e4b023002590713bc0,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:05:06,2021-12-08T23:05:06,478b37e4587b11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,9df014b08ebf11df89d30026b9bf6441,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:05:07,2021-12-08T23:05:07,478b37e6587b11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,9df014b18ebf11df89d30026b9bf6441,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
,,0,1899-12-30T00:00:00,0,2021-12-08T23:05:08,2021-12-08T23:05:08,478b37e8587b11ec8107000d3a02ed0d,,0,0,0958e747c6ee11eb8100000d3a02ed0d,ETOMPROCESS,9df014b28ebf11df89d30026b9bf6441,ETOMPROCESS,ATALMOR,ATALMOR,ATALMOR
