@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@DATEVALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@WHENCREATED,@NAME,@VALIDATED,@EXPORTFLAG,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,1899-12-30T00:00:00,4c716eaceb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,084763ef41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716eaeeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,084763f441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716eb0eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,084763f441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716eb2eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,084763fd41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716eb4eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,0847640041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c887c815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716eb7eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,0847641041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716eb9eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,0847642441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716ebbeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,0847642941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c8884815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716ebeeb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,0847643441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c8887815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
0,,0,1899-12-30T00:00:00,4c716ec0eb1711eb8103000d3a02ed0d,,2021-07-22T18:04:55,,0,0,2021-07-22T18:04:55,0847643a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,bd2c886f815f11db9401000e3573f0d3,TAMDOMAIN,DFREED,DFREED,DFREED
