@TEMPLATE,@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@WHENUPDATED,@WHENCREATED,@VALIDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@EXPORTFLAG,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,,0,,2018-05-01T03:16:16,2018-05-01T03:16:16,0,1899-12-30T00:00:00,01ba71404cee11e880d5000d3a02ed0d,0,202b9d5841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d5b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:17,2018-05-01T03:16:17,0,1899-12-30T00:00:00,01ba71424cee11e880d5000d3a02ed0d,0,202b9d5d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:18,2018-05-01T03:16:18,0,1899-12-30T00:00:00,01ba71444cee11e880d5000d3a02ed0d,0,202b9d6141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:19,2018-05-01T03:16:19,0,1899-12-30T00:00:00,01ba71464cee11e880d5000d3a02ed0d,0,202b9d6541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:20,2018-05-01T03:16:20,0,1899-12-30T00:00:00,01ba71484cee11e880d5000d3a02ed0d,0,202b9d6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d6c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:21,2018-05-01T03:16:21,0,1899-12-30T00:00:00,01ba714a4cee11e880d5000d3a02ed0d,0,202b9d6d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:22,2018-05-01T03:16:22,0,1899-12-30T00:00:00,01ba714c4cee11e880d5000d3a02ed0d,0,202b9d7141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:23,2018-05-01T03:16:23,0,1899-12-30T00:00:00,01ba714e4cee11e880d5000d3a02ed0d,0,202b9d7541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:24,2018-05-01T03:16:24,0,1899-12-30T00:00:00,01ba71504cee11e880d5000d3a02ed0d,0,202b9d7941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d7c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:25,2018-05-01T03:16:25,0,1899-12-30T00:00:00,01ba71524cee11e880d5000d3a02ed0d,0,202b9d7d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:26,2018-05-01T03:16:26,0,1899-12-30T00:00:00,01ba71544cee11e880d5000d3a02ed0d,0,202b9d8141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:07,2018-05-01T03:09:07,0,1899-12-30T00:00:00,0253afd14ced11e880d5000d3a02ed0d,0,f65a6cd441a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,cefb20f941a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:09,2018-05-01T03:09:09,0,1899-12-30T00:00:00,0253afd44ced11e880d5000d3a02ed0d,0,f65a6cd641a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d0841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:10,2018-05-01T03:09:10,0,1899-12-30T00:00:00,0253afd74ced11e880d5000d3a02ed0d,0,f65a6cdf41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d0c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:12,2018-05-01T03:09:12,0,1899-12-30T00:00:00,0253afda4ced11e880d5000d3a02ed0d,0,f65a6cdf41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:13,2018-05-01T03:09:13,0,1899-12-30T00:00:00,0253afdd4ced11e880d5000d3a02ed0d,0,024c5cd541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:14,2018-05-01T03:09:14,0,1899-12-30T00:00:00,0253afe04ced11e880d5000d3a02ed0d,0,024c5cd341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:16,2018-05-01T03:09:16,0,1899-12-30T00:00:00,0253afe34ced11e880d5000d3a02ed0d,0,024c5cd141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d1c41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:17,2018-05-01T03:09:17,0,1899-12-30T00:00:00,0253afe64ced11e880d5000d3a02ed0d,0,024c5cca41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d2041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:27,2018-05-01T03:16:27,0,1899-12-30T00:00:00,081885744cee11e880d5000d3a02ed0d,0,202b9d8641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:28,2018-05-01T03:16:28,0,1899-12-30T00:00:00,081885764cee11e880d5000d3a02ed0d,0,202b9d8a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d8d41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:29,2018-05-01T03:16:29,0,1899-12-30T00:00:00,081885784cee11e880d5000d3a02ed0d,0,202b9d8e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:29,2018-05-01T03:16:29,0,1899-12-30T00:00:00,0818857a4cee11e880d5000d3a02ed0d,0,202b9d9241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:30,2018-05-01T03:16:30,0,1899-12-30T00:00:00,0818857c4cee11e880d5000d3a02ed0d,0,202b9d9741a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:31,2018-05-01T03:16:31,0,1899-12-30T00:00:00,0818857e4cee11e880d5000d3a02ed0d,0,202b9d9b41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9d9f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:32,2018-05-01T03:16:32,0,1899-12-30T00:00:00,081885804cee11e880d5000d3a02ed0d,0,202b9da041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9da441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:33,2018-05-01T03:16:33,0,1899-12-30T00:00:00,081885824cee11e880d5000d3a02ed0d,0,202b9da541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9da941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:34,2018-05-01T03:16:34,0,1899-12-30T00:00:00,081885844cee11e880d5000d3a02ed0d,0,202b9daa41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9dad41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:35,2018-05-01T03:16:35,0,1899-12-30T00:00:00,081885864cee11e880d5000d3a02ed0d,0,202b9dae41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9db141a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:16:36,2018-05-01T03:16:36,0,1899-12-30T00:00:00,081885884cee11e880d5000d3a02ed0d,0,202b9db241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,202b9db541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:19,2018-05-01T03:09:19,0,1899-12-30T00:00:00,08f9fecf4ced11e880d5000d3a02ed0d,0,024c5ccc41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5d2441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:20,2018-05-01T03:09:20,0,1899-12-30T00:00:00,08f9fed24ced11e880d5000d3a02ed0d,0,024c5c6041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c6441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:21,2018-05-01T03:09:21,0,1899-12-30T00:00:00,08f9fed54ced11e880d5000d3a02ed0d,0,fc53512b41a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,fc53513041a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:23,2018-05-01T03:09:23,0,1899-12-30T00:00:00,08f9fed84ced11e880d5000d3a02ed0d,0,024c5c6541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c6941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:24,2018-05-01T03:09:24,0,1899-12-30T00:00:00,08f9fedb4ced11e880d5000d3a02ed0d,0,024c5c6a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c6f41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:26,2018-05-01T03:09:26,0,1899-12-30T00:00:00,08f9fede4ced11e880d5000d3a02ed0d,0,024c5c7041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c7441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:27,2018-05-01T03:09:27,0,1899-12-30T00:00:00,08f9fee14ced11e880d5000d3a02ed0d,0,024c5c7541a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c7941a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
0,,,0,,2018-05-01T03:09:29,2018-05-01T03:09:29,0,1899-12-30T00:00:00,08f9fee44ced11e880d5000d3a02ed0d,0,024c5c7a41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,024c5c7e41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,DFREED,DFREED,DFREED
