@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,,0,1899-12-30T00:00:00,0,0,2017-12-13T17:32:42,2017-12-13T17:32:42,9ea81314e02b11e780d0000d3a02ed0d,9ea81316e02b11e780d0000d3a02ed0d,FRAMEWORXFUNCTION,105cd537e02b11e780d0000d3a02ed0d,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2017-12-13T17:32:42,2017-12-13T17:32:42,9ea8131ae02b11e780d0000d3a02ed0d,9ea8131ce02b11e780d0000d3a02ed0d,FRAMEWORXFUNCTION,105cd537e02b11e780d0000d3a02ed0d,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2019-06-10T06:54:47,2019-06-10T06:54:47,9f402ff88b4c11e980e2000d3a02ed0d,59974c21f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,0a0c8a9fa5f011e2aea95c260a653b0e,TAMAPPLICATION,,,,ATALMOR,ATALMOR,ATALMOR
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:04,2016-06-01T15:13:04,a0299c4a283d11e6bf18002590713bc0,59974c69f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,b8dff94ca7a811e2a0d5f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:04,2016-06-01T15:13:04,a0299c4c283d11e6bf18002590713bc0,59974c6cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,b8dff94ca7a811e2a0d5f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:05,2016-06-01T15:13:05,a0299c50283d11e6bf18002590713bc0,59974c72f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,b8dff94ca7a811e2a0d5f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:06,2016-06-01T15:13:06,a0299c52283d11e6bf18002590713bc0,59974c75f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,e6e18187146311e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:06,2016-06-01T15:13:06,a0299c54283d11e6bf18002590713bc0,59974c78f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,0f3ac565146411e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:07,2016-06-01T15:13:07,a0299c56283d11e6bf18002590713bc0,59974c7bf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,17ab3be8146411e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:13:07,2016-06-01T15:13:07,a0299c58283d11e6bf18002590713bc0,59974c7ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,c7be4c9f147611e28835f04da23a38c8,TAMAPPLICATION,32,32,32,,,
