@NAME,@TEMPLATE,@TYPE,@CONFORMANCESCORE,@WHENCREATED,@CONFORMANCEVERSION,@VALIDATED,@DATEVALIDATED,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@DESCRIPTION,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,,,2019-07-16T16:39:20,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:20,41384e90a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,c346b6ab283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:20,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:20,41384e92a7e811e980e5000d3a02ed0d,41384e91a7e811e980e5000d3a02ed0d,ISSUE,18a1b1194ee511e780ca000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:20,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:20,41384e93a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,c952434d283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:21,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:21,41384e94a7e811e980e5000d3a02ed0d,41384e91a7e811e980e5000d3a02ed0d,ISSUE,18a1b1284ee511e780ca000d3a02ed0d,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:21,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:21,41384e95a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,9f438ce7283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:26,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:26,41384e96a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8cc6283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:26,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:26,41384e97a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,bd4d23b8283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:26,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:26,41384e98a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,b1511478283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e99a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,9f438ce5283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e9aa7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,9f438d05283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e9ba7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8ced283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e9ca7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,c952436b283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e9da7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,c9524343283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e9ea7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,c9524385283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:27,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:27,41384e9fa7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,b7542d2a283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:28,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:28,41384ea0a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,4f4fe51d6d4411e1a5f7002564cb911c,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:28,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:28,41384ea1a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,b151142e283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:28,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:28,41384ea2a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,c346b69d283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:28,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:28,41384ea3a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8cc1283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:28,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:28,41384ea4a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8cd3283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:28,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:28,41384ea5a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,b1511477283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:29,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:29,41384ea6a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,4f4fe51a6d4411e1a5f7002564cb911c,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
,0,,,2019-07-16T16:39:29,,0,1899-12-30T00:00:00,0,0,,2019-07-16T16:39:29,41384ea7a7e811e980e5000d3a02ed0d,41384e8da7e811e980e5000d3a02ed0d,ISSUE,ab3b8cd4283911e6bf18002590713bc0,ETOMPROCESS,,,,ATALMOR,ATALMOR,ATALMOR
