@NAME,@WHENCREATED,@TYPE,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@TEMPLATE,@DATEVALIDATED,@WHENUPDATED,@DESCRIPTION,@VALIDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
,2009-04-06T00:36:34,,-1,0,0,1899-12-30T00:00:00,2009-04-06T00:36:34,,0,36d40d40223211deb424000e35d948d7,760019a8cb2b11db9435000e3573f0d3,ETOMPROCESS,c06e82e62a694a5888867c918c78eafc,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2008-09-23T23:02:30,,-1,0,0,1899-12-30T00:00:00,2008-09-23T23:02:30,,0,3963f2c289e511dd9429001de065480b,7001e89acb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,EVOLVEADMIN,EVOLVEADMIN,EVOLVEADMIN,,,
,2009-04-05T23:10:48,,-1,0,0,1899-12-30T00:00:00,2009-04-05T23:10:48,,0,3b75b8c0222611deb424000e35d948d7,7bf6a4d5cb2b11db9435000e3573f0d3,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-03-27T15:26:21,,-1,0,0,1899-12-30T00:00:00,2009-03-27T15:26:21,,0,3db0ccd01adb11deb424000e35d948d7,de684c300bbb11dd870a001e378839ac,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-08-17T14:48:32,,-1,0,0,1899-12-30T00:00:00,2009-08-17T14:48:32,,0,44c8f8a08b2c11deb432000e35d948d7,7001e869cb2b11db9435000e3573f0d3,ETOMPROCESS,c06e82e62a694a5888867c918c78eafc,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-17T16:16:00,,-1,0,0,1899-12-30T00:00:00,2009-04-17T16:16:00,,0,4607f0f02b5a11deb424000e35d948d7,7001e8becb2b11db9435000e3573f0d3,ETOMPROCESS,1a3fb602aced4bf89b6f894b9117c6b3,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-06T00:15:39,,-1,0,0,1899-12-30T00:00:00,2009-04-06T00:15:39,,0,4b0215b0222f11deb424000e35d948d7,7bf6a4dbcb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-06T00:01:29,,-1,0,0,1899-12-30T00:00:00,2009-04-06T00:01:29,,0,50598900222d11deb424000e35d948d7,76001977cb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-05T23:04:14,,-1,0,0,1899-12-30T00:00:00,2009-04-05T23:04:14,,0,50d5a1b0222511deb424000e35d948d7,7600195ccb2b11db9435000e3573f0d3,ETOMPROCESS,681f7bace3ad415abb15f1108c6ba19a,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
,2009-04-06T00:44:33,,-1,0,0,1899-12-30T00:00:00,2009-04-06T00:44:33,,0,549a3a00223311deb424000e35d948d7,7001e85fcb2b11db9435000e3573f0d3,ETOMPROCESS,d254d8720775497a82f1c348985e7343,ORGANIZATION,ADMIN,ADMIN,ADMIN,,,
