@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENUPDATED,@DATEVALIDATED,@EXPORTFLAG,@DESCRIPTION,@NAME,@WHENCREATED,@UNIQUEIDENTIFIER,@TEMPLATE,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac35f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,90e960415f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac45f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,90e960425f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac55f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,98ab44b55f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac65f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,98ab44b65f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac75f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,a0649d895f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac85f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,a0649d8a5f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eac95f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,a8317ea75f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:05:11,1899-12-30T00:00:00,0,,,2014-10-29T03:05:11,af70eaca5f4a11e4925a6817294aebff,0,,0d849ae35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,a8317ea85f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:12:52,1899-12-30T00:00:00,0,,,2014-10-29T03:12:52,c1e410045f4b11e4925a6817294aebff,0,,677b12735e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,b9cf9d8c5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1525f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,a2a5fdb35f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1535f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,abab63625f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1545f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,abab63635f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1555f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,b2d217015f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1565f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,b2d217025f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1575f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,b9f7921a5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1585f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,b9f7921b5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee1595f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,c11ff36f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee15a5f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,c11ff3705f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee15b5f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,c845bcaa5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee15c5f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,c845bcab5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:20:29,1899-12-30T00:00:00,0,,,2014-10-29T03:20:29,cf6ee15d5f4c11e4925a6817294aebff,0,,e9c33fdb5e8711e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,cf6ee1515f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:06:32,1899-12-30T00:00:00,0,,,2014-10-29T03:06:32,dc2d4b135f4a11e4925a6817294aebff,0,,e2bc29475f4a11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,ccb7da415f4a11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:06:32,1899-12-30T00:00:00,0,,,2014-10-29T03:06:32,dc2d4b145f4a11e4925a6817294aebff,0,,e2bc29475f4a11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,d5086c3b5f4a11e4925a6817294aebff,PROCESS,32,32,32
