@NAME,@TYPE,@TEMPLATE,@ALLOWAUTOMATICDELETION,@EXPORTFLAG,@WHENUPDATED,@DATEVALIDATED,@UNIQUEIDENTIFIER,@DESCRIPTION,@WHENCREATED,@VALIDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,0,0,2021-05-13T09:23:22,1899-12-30T00:00:00,daf67f78b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:22,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,59974c78f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:22,1899-12-30T00:00:00,daf67f7bb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:22,0,f434ce9eb35a11eb80ff000d3a02ed0d,FRAMEWORXCATEGORY,59974c7bf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f7eb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c7ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f7fb3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c7ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f80b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c7ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f83b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c81f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f84b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c81f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f85b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c81f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f88b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c84f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
,,0,0,0,2021-05-13T09:23:23,1899-12-30T00:00:00,daf67f89b3cc11eb80ff000d3a02ed0d,,2021-05-13T09:23:23,0,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,59974c84f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,ATALMOR,ATALMOR,ATALMOR
