@NAME,@ALLOWAUTOMATICDELETION,@VALIDATED,@TEMPLATE,@EXPORTFLAG,@DATEVALIDATED,@DESCRIPTION,@TYPE,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:18,2021-05-13T09:24:18,f908bafbb3cc11eb80ff000d3a02ed0d,658c74fef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:18,2021-05-13T09:24:18,f908bafeb3cc11eb80ff000d3a02ed0d,658c7501f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:19,2021-05-13T09:24:19,f908bb01b3cc11eb80ff000d3a02ed0d,658c7504f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:19,2021-05-13T09:24:19,f908bb04b3cc11eb80ff000d3a02ed0d,658c7507f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:19,2021-05-13T09:24:19,f908bb07b3cc11eb80ff000d3a02ed0d,658c750af4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:19,2021-05-13T09:24:19,f908bb0ab3cc11eb80ff000d3a02ed0d,658c750df4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:19,2021-05-13T09:24:19,f908bb0db3cc11eb80ff000d3a02ed0d,658c7510f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:20,2021-05-13T09:24:20,f908bb10b3cc11eb80ff000d3a02ed0d,658c7513f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:20,2021-05-13T09:24:20,f908bb13b3cc11eb80ff000d3a02ed0d,658c7516f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
,0,0,0,0,1899-12-30T00:00:00,,,2021-05-13T09:24:20,2021-05-13T09:24:20,f908bb16b3cc11eb80ff000d3a02ed0d,658c7519f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,ATALMOR,ATALMOR,ATALMOR
